번호,종목코드,종목명,산업카테고리,시가총액(억),현재 PER,추정 PER,전년 영업이익,추정 영업이익,추정 ROE,부채비율,이익성장률,DeltaPER
0,259960,크래프톤,게임엔터테인먼트,134877.0,18.43,12.0,10544.0,13822.0,15.11,31.31,0.3108877086494688,6.43
0,047040,대우건설,건설,131901.0,,38.0,-8154.0,5964.0,9.81,284.46,-1.731420161883738,
0,001440,대한전선,전기장비,131445.0,155.97,128.0,1286.0,1886.0,6.25,114.0,0.4665629860031104,27.97
0,005940,NH투자증권,증권,128462.0,12.48,9.0,14206.0,19813.0,14.75,783.5,0.39469238349992963,3.4800000000000004
0,0126Z0,삼성에피스홀딩스,제약,128148.0,,,-636.0,2444.0,3.86,33.28,-4.8427672955974845,
0,016360,삼성증권,증권,12734.0,11.99,9.0,13757.0,18232.0,16.01,887.64,0.32528894381042384,2.99
0,010950,S-Oil,석유와가스,124854.0,73.06,8.0,2356.0,25042.0,17.77,198.82,9.629032258064516,65.06
0,039490,키움증권,증권,12388.0,11.33,8.0,14882.0,20096.0,21.06,1107.51,0.350356134928101,3.33
0,396500,TIGER 반도체TOP10,,127995.0,,,,,,,,
0,443060,HD현대마린솔루션,조선,115222.0,42.74,32.0,3501.0,4339.0,39.74,54.27,0.23936018280491278,10.740000000000002
0,028050,삼성E&A,건설,114856.0,18.6,16.0,7921.0,8819.0,14.1,125.8,0.11336952404999368,2.6000000000000014
0,950160,코오롱티슈진,생물공학,112614.0,,,-223.0,-290.0,-63.89,561.65,0.3004484304932735,
0,323410,카카오뱅크,은행,11453.0,22.99,18.0,6494.0,7109.0,8.84,1032.02,0.09470280258700337,4.989999999999998
0,005830,DB손해보험,손해보험,106242.0,6.42,7.0,23840.0,20870.0,14.12,576.91,-0.12458053691275173,-0.5800000000000001
0,102110,TIGER 200,,104940.0,,,,,,,,
0,352820,하이브,방송과엔터테인먼트,104092.0,,49.0,493.0,2899.0,6.35,54.46,4.880324543610548,
0,007660,이수페타시스,전자장비와기기,102846.0,62.07,39.0,2047.0,3215.0,31.83,70.53,0.570591108939912,23.07
0,133690,TIGER 미국나스닥100,,99550.0,,,,,,,,
0,003230,삼양식품,식품,99360.0,25.51,19.0,5242.0,6906.0,35.27,72.74,0.3174360930942388,6.510000000000002
0,062040,산일전기,전기장비,99195.0,66.24,48.0,1786.0,2517.0,31.01,16.48,0.4092945128779395,18.239999999999995
0,000880,한화,복합기업,97371.0,35.06,15.0,41469.0,53568.0,6.71,497.35,0.291760109961658,20.060000000000002
0,000250,삼천당제약,제약,96058.0,1828.12,1828.12,85.0,85.0,1.94,54.36,0.0,0.0
0,005387,현대차2우B,자동차,95102.0,7.7,7.0,114679.0,120775.0,8.8,188.95,0.05315707322177565,0.7000000000000002
0,003490,대한항공,항공사,94817.0,12.2,51.0,11136.0,7361.0,1.7,339.88,-0.3389906609195402,-38.8
0,379800,KODEX 미국S&P500,,91032.0,,,,,,,,
0,122630,KODEX 레버리지,,89209.0,,,,,,,,
0,058470,리노공업,반도체와반도체장비,88253.0,58.07,47.0,1770.0,2168.0,23.54,8.3,0.22485875706214697,11.07
0,267270,HD건설기계,기계,86545.0,32.14,17.0,1709.0,6814.0,17.41,86.64,2.987126974839087,15.14
0,278530,KODEX 200TR,,84699.0,,,,,,,,
0,000990,DB하이텍,반도체와반도체장비,81223.0,32.28,32.28,2773.0,3080.0,12.85,33.36,0.11071042192571223,0.0
0,459580,KODEX CD금리액티브(합성),,8598.0,,,,,,,,
0,377300,카카오페이,IT서비스,8336.0,177.31,70.0,504.0,1388.0,5.85,173.7,1.753968253968254,107.31
0,000500,가온전선,전기장비,78911.0,148.27,148.27,792.0,792.0,10.96,184.82,0.0,0.0
0,009830,한화솔루션,에너지장비및서비스,78211.0,,17.0,-3648.0,7970.0,4.87,196.32,-3.1847587719298245,
0,326030,SK바이오팜,제약,77217.0,28.92,24.0,2039.0,3348.0,32.25,45.03,0.6419813634134379,4.920000000000002
0,036930,주성엔지니어링,반도체와반도체장비,76136.0,216.95,119.0,313.0,657.0,10.35,50.37,1.099041533546326,97.94999999999999
0,066970,엘앤에프,전기제품,75773.0,,-2014.0,-1568.0,2209.0,-0.56,363.06,-2.4088010204081636,
0,161390,한국타이어앤테크놀로지,자동차부품,75688.0,6.95,5.0,18411.0,21815.0,11.06,87.63,0.18488946825267494,1.9500000000000002
0,488770,KODEX 머니마켓액티브,,75391.0,,,,,,,,
0,028300,HLB,건강관리장비와용품,75236.0,,,-1042.0,-1042.0,-44.32,88.14,0.0,
0,379810,KODEX 미국나스닥100,,75175.0,,,,,,,,
0,090430,아모레퍼시픽,화장품,74812.0,37.47,25.0,3358.0,4551.0,6.41,26.49,0.3552709946396664,12.469999999999999
0,180640,한진칼,항공사,74039.0,48.15,48.15,-75.0,-75.0,4.75,20.93,0.0,0.0
0,078930,GS,석유와가스,71916.0,9.18,8.0,29361.0,33175.0,6.27,86.04,0.12990020775859135,1.1799999999999997
0,298380,에이비엘바이오,생물공학,71496.0,,-194.0,-404.0,-400.0,-23.26,79.29,-0.00990099009900991,
0,241560,두산밥캣,기계,7167.0,17.56,13.0,6861.0,7660.0,7.13,70.77,0.11645532721177676,4.559999999999999
0,240810,원익IPS,반도체와반도체장비,69503.0,82.71,43.0,738.0,1846.0,15.32,20.06,1.5013550135501355,39.709999999999994
0,064400,LG씨엔에스,IT서비스,68305.0,15.5,14.0,5518.0,6169.0,15.83,79.68,0.1179775280898876,1.5
0,103590,일진전기,전기장비,67952.0,65.4,46.0,1512.0,2068.0,22.63,159.23,0.3677248677248677,19.400000000000006
0,141080,리가켐바이오,제약,68190.0,,288.0,-1065.0,-14.0,4.47,29.7,-0.9868544600938968,
0,454910,두산로보틱스,기계,67672.0,,,-595.0,-595.0,-14.78,14.57,0.0,
0,000100,유한양행,제약,67382.0,35.41,43.0,1044.0,1373.0,6.68,36.35,0.31513409961685834,-7.590000000000003
0,032640,LG유플러스,무선통신서비스,65850.0,12.68,9.0,8921.0,11313.0,8.11,117.06,0.2681313754063446,3.6799999999999997
0,021240,코웨이,가정용기기와용품,65672.0,10.84,9.0,8787.0,9861.0,17.87,93.71,0.12222601570501879,1.8399999999999999
0,052690,한전기술,전기유틸리티,65509.0,76.72,106.0,355.0,646.0,9.81,41.7,0.819718309859155,-29.28
0,082740,한화엔진,조선,65423.0,37.66,32.0,1301.0,2433.0,30.69,204.92,0.8700999231360491,5.659999999999997
0,087010,펩트론,생물공학,64472.0,,,-213.0,-213.0,-9.41,26.03,0.0,
0,091160,KODEX 반도체,,63990.0,,,,,,,,
0,336260,두산퓨얼셀,전기제품,63332.0,,-169.0,-1057.0,-351.0,-13.61,226.12,-0.6679280983916746,
0,005385,현대차우,자동차,63487.0,7.7,7.0,114679.0,120775.0,8.8,188.95,0.05315707322177565,0.7000000000000002
0,001040,CJ,복합기업,63752.0,54.37,23.0,25277.0,27444.0,6.37,176.0,0.0857301103770225,31.369999999999997
0,034220,LG디스플레이,디스플레이패널,63050.0,27.84,13.0,5170.0,12298.0,7.13,243.36,1.3787234042553194,14.84
0,353200,대덕전자,전자장비와기기,62166.0,136.15,34.0,491.0,2330.0,19.7,31.28,3.7454175152749487,102.15
0,039030,이오테크닉스,반도체와반도체장비,61721.0,107.88,54.0,808.0,1302.0,15.75,13.06,0.6113861386138615,53.879999999999995
0,229200,KODEX 코스닥150,,59729.0,,,,,,,,
0,010060,OCI홀딩스,화학,59651.0,,25.0,-576.0,3851.0,5.99,66.35,-7.685763888888889,
0,011790,SKC,화학,59188.0,,-33.0,-3050.0,-605.0,-24.88,232.74,-0.8016393442622951,
0,018880,한온시스템,자동차부품,58805.0,,25.0,2704.0,4344.0,6.03,168.14,0.6065088757396451,
0,310970,TIGER MSCI Korea TR,,58374.0,,,,,,,,
0,004020,현대제철,철강,58249.0,,29.0,2192.0,4792.0,1.03,73.6,1.1861313868613137,
0,029780,삼성카드,카드,58161.0,9.0,9.0,8537.0,8505.0,7.21,263.01,-0.0037483893639451704,0.0
0,498400,KODEX 200타겟위클리커버드콜,,56549.0,,,,,,,,
0,108490,로보티즈,기계,55330.0,1001.33,488.0,33.0,96.0,3.57,1.79,1.9090909090909092,513.33
0,271560,오리온,식품,55192.0,14.42,12.0,5583.0,6482.0,12.04,17.55,0.1610245387784346,2.42
0,381180,TIGER 미국필라델피아반도체나스닥,,54776.0,,,,,,,,
0,138930,BNK금융지주,은행,54742.0,6.86,6.0,9027.0,11174.0,7.78,1333.0,0.23784202946715416,0.8600000000000003
0,214370,케어젠,건강관리업체및서비스,54413.0,270.86,270.86,204.0,204.0,9.23,8.85,0.0,0.0
0,128940,한미약품,제약,54255.0,32.0,30.0,2578.0,2663.0,13.74,50.23,0.03297129557796752,2.0
0,036570,NC,게임엔터테인먼트,54075.0,15.66,14.0,161.0,4380.0,10.77,28.56,26.204968944099377,1.6600000000000001
0,002380,KCC,건축자재,53852.0,3.5,5.0,4276.0,4406.0,12.73,114.76,0.03040224508886813,-1.5
0,088980,맥쿼리인프라,,53783.0,,,,,,,,
0,450080,에코프로머티,전기제품,52919.0,229.36,229.36,-654.0,1076.0,6.46,51.05,-2.6452599388379205,0.0
0,022100,포스코DX,IT서비스,52072.0,99.85,99.85,604.0,604.0,9.53,45.73,0.0,0.0
0,095340,ISC,반도체와반도체장비,51615.0,91.96,58.0,601.0,997.0,15.7,15.85,0.658901830282862,33.959999999999994
0,310210,보로노이,제약,5330.0,,,-544.0,-440.0,-58.1,64.97,-0.19117647058823528,
0,440110,파두,반도체와반도체장비,5297.0,,,-655.0,-655.0,-131.08,518.5,0.0,
0,487240,KODEX AI전력핵심설비,,5257.0,,,,,,,,
0,175330,JB금융지주,은행,49134.0,7.08,7.0,9523.0,10187.0,12.19,1084.16,0.06972592670376976,0.08000000000000007
0,411060,ACE KRX금현물,,47331.0,,,,,,,,
